2018-02-18 00:16:12 status unpacked ax25-node:amd64 0.3.2-7.4
2018-02-18 00:16:12 status unpacked ax25-node:amd64 0.3.2-7.4
2018-02-18 00:16:12 install node:all <none> 0.3.2-7.4
2018-02-18 00:16:12 status half-installed node:all 0.3.2-7.4
2018-02-18 00:16:12 status unpacked node:all 0.3.2-7.4
2018-02-18 00:16:12 status unpacked node:all 0.3.2-7.4
2018-02-18 00:16:12 trigproc systemd:amd64 215-17+deb8u7 <none>
2018-02-18 00:16:12 status half-configured systemd:amd64 215-17+deb8u7
2018-02-18 00:16:12 status installed systemd:amd64 215-17+deb8u7
2018-02-18 00:16:13 startup packages configure
2018-02-18 00:16:13 configure libax25:amd64 0.0.12-rc2+cvs20120204-3 <none>
2018-02-18 00:16:13 status unpacked libax25:amd64 0.0.12-rc2+cvs20120204-3
2018-02-18 00:16:13 status unpacked libax25:amd64 0.0.12-rc2+cvs20120204-3
2018-02-18 00:16:13 status unpacked libax25:amd64 0.0.12-rc2+cvs20120204-3
2018-02-18 00:16:13 status unpacked libax25:amd64 0.0.12-rc2+cvs20120204-3
2018-02-18 00:16:13 status half-configured libax25:amd64 0.0.12-rc2+cvs20120204-3
2018-02-18 00:16:13 status installed libax25:amd64 0.0.12-rc2+cvs20120204-3
2018-02-18 00:16:13 status triggers-pending libc-bin:amd64 2.19-18+deb8u10
2018-02-18 00:16:13 configure libfile-copy-recursive-perl:all 0.38-1 <none>
2018-02-18 00:16:13 status unpacked libfile-copy-recursive-perl:all 0.38-1
2018-02-18 00:16:13 status half-configured libfile-copy-recursive-perl:all 0.38-1
2018-02-18 00:16:13 status installed libfile-copy-recursive-perl:all 0.38-1
2018-02-18 00:16:13 configure update-inetd:all 4.43 <none>
2018-02-18 00:16:13 status unpacked update-inetd:all 4.43
2018-02-18 00:16:13 status half-configured update-inetd:all 4.43
2018-02-18 00:16:13 status installed update-inetd:all 4.43
2018-02-18 00:16:13 configure tcpd:amd64 7.6.q-25 <none>
2018-02-18 00:16:13 status unpacked tcpd:amd64 7.6.q-25
2018-02-18 00:16:13 status half-configured tcpd:amd64 7.6.q-25
2018-02-18 00:16:13 status installed tcpd:amd64 7.6.q-25
2018-02-18 00:16:13 configure openbsd-inetd:amd64 0.20140418-2 <none>
2018-02-18 00:16:13 status unpacked openbsd-inetd:amd64 0.20140418-2
2018-02-18 00:16:13 status triggers-pending systemd:amd64 215-17+deb8u7
2018-02-18 00:16:13 status unpacked openbsd-inetd:amd64 0.20140418-2
2018-02-18 00:16:13 status half-configured openbsd-inetd:amd64 0.20140418-2
2018-02-18 00:16:14 status installed openbsd-inetd:amd64 0.20140418-2
2018-02-18 00:16:14 configure ax25-node:amd64 0.3.2-7.4 <none>
2018-02-18 00:16:14 status unpacked ax25-node:amd64 0.3.2-7.4
2018-02-18 00:16:14 status unpacked ax25-node:amd64 0.3.2-7.4
2018-02-18 00:16:14 status unpacked ax25-node:amd64 0.3.2-7.4
2018-02-18 00:16:14 status unpacked ax25-node:amd64 0.3.2-7.4
2018-02-18 00:16:14 status half-configured ax25-node:amd64 0.3.2-7.4
2018-02-18 00:16:14 status installed ax25-node:amd64 0.3.2-7.4
2018-02-18 00:16:14 configure node:all 0.3.2-7.4 <none>
2018-02-18 00:16:14 status unpacked node:all 0.3.2-7.4
2018-02-18 00:16:14 status half-configured node:all 0.3.2-7.4
2018-02-18 00:16:14 status installed node:all 0.3.2-7.4
2018-02-18 00:16:14 trigproc libc-bin:amd64 2.19-18+deb8u10 <none>
2018-02-18 00:16:14 status half-configured libc-bin:amd64 2.19-18+deb8u10
2018-02-18 00:16:14 status installed libc-bin:amd64 2.19-18+deb8u10
2018-02-18 00:16:14 trigproc systemd:amd64 215-17+deb8u7 <none>
2018-02-18 00:16:14 status half-configured systemd:amd64 215-17+deb8u7
2018-02-18 00:16:14 status installed systemd:amd64 215-17+deb8u7
2018-02-18 00:16:15 startup packages configure
